County,Date,Deaths,Case,Vehicles
BEXAR (29),2014-03-15,1,480556,1
DALLAS (113),2014-03-16,1,480569,1
HARRIS (201),2014-03-16,1,480570,2
HARRIS (201),2014-03-16,1,480571,1
DALLAS (113),2014-03-17,1,480575,1
BEXAR (29),2014-03-18,1,480582,3
DALLAS (113),2014-03-18,1,480583,1
HARRIS (201),2014-03-19,1,480589,2
BEXAR (29),2014-03-20,1,480590,1
BEXAR (29),2014-03-21,2,480599,2
HARRIS (201),2014-03-21,1,480600,2
BEXAR (29),2014-03-22,1,480603,1
BEXAR (29),2014-03-22,1,480604,3
DALLAS (113),2014-03-22,1,480605,1
HARRIS (201),2014-03-22,1,480608,1
HARRIS (201),2014-02-26,1,480612,2
BEXAR (29),2014-03-23,2,480619,2
DALLAS (113),2014-03-23,2,480620,2
HARRIS (201),2014-03-23,1,480622,1
BEXAR (29),2014-03-24,4,480626,1
BEXAR (29),2014-03-25,1,480631,1
DALLAS (113),2014-03-25,1,480633,1
HARRIS (201),2014-03-29,1,480646,1
BEXAR (29),2014-03-10,1,480653,1
HARRIS (201),2014-03-22,1,480662,2
BEXAR (29),2014-03-24,1,480663,1
HARRIS (201),2014-03-25,1,480665,2
DALLAS (113),2014-03-28,1,480669,2
HARRIS (201),2014-03-28,1,480672,2
DALLAS (113),2014-03-29,1,480676,2
DALLAS (113),2014-03-29,2,480677,5
HARRIS (201),2014-03-31,1,480683,2
HARRIS (201),2014-02-20,1,480685,2
HARRIS (201),2014-03-23,1,480688,2
HARRIS (201),2014-03-22,1,480702,2
DALLAS (113),2014-03-24,1,480704,1
HARRIS (201),2014-04-01,1,480717,2
BEXAR (29),2014-04-02,1,480722,1
HARRIS (201),2014-04-02,1,480724,1
BEXAR (29),2014-04-03,1,480734,2
BEXAR (29),2014-04-03,1,480735,2
BEXAR (29),2014-04-03,1,480736,1
BEXAR (29),2014-04-03,1,480737,2
HARRIS (201),2014-04-03,1,480739,1
HARRIS (201),2014-04-06,1,480753,1
HARRIS (201),2014-04-06,1,480755,2
HARRIS (201),2014-04-06,1,480756,2
HARRIS (201),2014-04-07,1,480759,2
DALLAS (113),2014-04-08,1,480763,2
HARRIS (201),2014-04-08,1,480764,1
HARRIS (201),2014-04-08,1,480765,2
BEXAR (29),2014-04-09,1,480769,2
HARRIS (201),2014-04-09,1,480771,2
HARRIS (201),2014-04-09,1,480772,1
BEXAR (29),2014-04-10,1,480779,1
HARRIS (201),2014-04-11,1,480786,1
HARRIS (201),2014-04-12,1,480794,1
HARRIS (201),2014-04-12,1,480795,1
HARRIS (201),2014-04-12,2,480796,5
HARRIS (201),2014-04-12,1,480797,1
BEXAR (29),2014-04-13,1,480802,2
HARRIS (201),2014-04-13,1,480805,2
BEXAR (29),2014-04-14,1,480809,1
HARRIS (201),2014-03-15,1,480810,2
DALLAS (113),2014-03-29,1,480811,1
DALLAS (113),2014-04-14,1,480814,3
DALLAS (113),2014-04-15,1,480823,3
DALLAS (113),2014-04-16,1,480827,1
